date,positions,avg_return_pct,total_return_pct,best_stock,worst_stock,equity,daily_pnl,peak,drawdown_pct
2024-02-26,1,9.13,9.13,机器人(300024) +9.13%,机器人(300024) +9.13%,109.13,9.129999999999995,109.13,0.0
2024-02-27,1,7.74,7.74,机器人(300024) +7.74%,机器人(300024) +7.74%,117.57666199999998,8.44666199999999,117.57666199999998,0.0
2024-05-22,1,5.03,5.03,我爱我家(000560) +5.03%,我爱我家(000560) +5.03%,123.49076809859997,5.914106098599987,123.49076809859997,0.0
2024-05-23,1,3.07,3.07,我爱我家(000560) +3.07%,我爱我家(000560) +3.07%,127.28193467922699,3.7911665806270207,127.28193467922699,0.0
2024-06-18,1,3.12,3.12,协和电子(605258) +3.12%,协和电子(605258) +3.12%,131.25313104121886,3.971196361991872,131.25313104121886,0.0
2024-06-19,1,3.84,3.84,协和电子(605258) +3.84%,协和电子(605258) +3.84%,136.29325127320163,5.040120231982769,136.29325127320163,0.0
2024-06-24,1,-5.17,-5.17,沃尔核材(002130) -5.17%,沃尔核材(002130) -5.17%,129.24689018237711,-7.046361090824519,136.29325127320163,-5.1699999999999955
2024-06-25,3,-7.33,-21.98,索菱股份(002766) -4.66%,赛力斯(601127) -10.25%,119.77309313200888,-9.473797050368233,136.29325127320163,-12.121038999999989
2024-06-26,3,-6.55,-19.65,沃尔核材(002130) +1.31%,索菱股份(002766) -11.11%,111.9279555318623,-7.845137600146586,136.29325127320163,-17.877110945499993
2024-06-27,1,-5.26,-5.26,沃尔核材(002130) -5.26%,沃尔核材(002130) -5.26%,106.04054507088634,-5.887410460975957,136.29325127320163,-22.196774909766695
2024-07-02,1,-1.87,-1.87,沃尔核材(002130) -1.87%,沃尔核材(002130) -1.87%,104.05758687806075,-1.982958192825592,136.29325127320163,-23.651695218954067
2024-07-03,2,-4.76,-9.52,沃尔核材(002130) -3.47%,沃尔核材(002130) -6.05%,99.10444574266506,-4.953141135395683,136.29325127320163,-27.28587452653185
2024-07-04,4,-1.0,-4.0,久其软件(002279) +2.05%,沃尔核材(002130) -3.81%,98.11340128523841,-0.9910444574266535,136.29325127320163,-28.01301578126653
2024-07-05,4,2.64,10.58,久其软件(002279) +6.56%,新易盛(300502) +0.13%,100.70359507916871,2.590193793930297,136.29325127320163,-26.112559397891964
2024-07-08,2,3.38,6.75,沃尔核材(002130) +3.74%,沃尔核材(002130) +3.01%,104.10737659284462,3.4037815136759093,136.29325127320163,-23.615163905540708
2024-07-09,2,6.84,13.69,沃尔核材(002130) +13.33%,光华科技(002741) +0.36%,111.2283211517952,7.120944558950583,136.29325127320163,-18.390441116679686
2024-07-10,1,-1.85,-1.85,光华科技(002741) -1.85%,光华科技(002741) -1.85%,109.17059721048699,-2.057723941308211,136.29325127320163,-19.900217956021113
2024-07-18,1,14.18,14.18,大众交通(600611) +14.18%,大众交通(600611) +14.18%,124.65098789493403,15.480390684447045,136.29325127320163,-8.542068862184914
2024-07-19,1,18.65,18.65,大众交通(600611) +18.65%,大众交通(600611) +18.65%,147.89839713733923,23.247409242405197,147.89839713733923,0.0
2024-07-23,3,2.76,8.29,金龙汽车(600686) +5.41%,锦江在线(600650) -1.83%,151.9803928983298,4.081995760990566,151.9803928983298,0.0
2024-07-24,5,-2.54,-12.68,大众交通(600611) +10.30%,锦江在线(600650) -11.65%,148.12009091871224,-3.86030197961756,151.9803928983298,-2.539999999999989
